,depth,sn,sp,ild,cild,dt,sn_top,interval
0,990.0,,-22.8561,2.3253,,,0.0,
1,990.5,,-40.2045,1.7367,,,0.0,
2,991.0,,-55.7076,3.743,,,0.0,
3,991.5,,-59.7138,7.0024,,,0.0,
4,992.0,,-59.4037,6.0857,1.1397,,0.0,
5,992.5,,-58.7398,2.6356,1.1524,,0.0,
6,993.0,,-58.0759,2.7375,1.1652,,0.0,
7,993.5,,-59.2157,2.8394,1.178,,0.0,
8,994.0,,-59.592,2.9413,81.646,,0.0,
9,994.5,,-59.8997,3.05,218.4109,,0.0,
10,995.0,,-60.0017,3.1175,296.5894,,0.0,
11,995.5,,-59.7155,3.151,295.5062,,0.0,
12,996.0,,-59.4291,3.2321,287.9734,,0.0,
13,996.5,,-58.9331,3.6349,270.653,,0.0,
14,997.0,,-58.5496,4.2976,243.6269,,0.0,
15,997.5,,-58.3379,4.9234,212.0636,,0.0,
16,998.0,,-58.0324,4.1299,235.2411,,0.0,
17,998.5,,-57.8093,3.3363,275.6442,,0.0,
18,999.0,,-57.3176,3.2322,304.8318,,0.0,
19,999.5,,-56.5382,3.2657,316.7486,,0.0,
20,1000.0,,-55.8661,3.357,304.974,,0.0,
21,1000.5,,-55.3438,3.4303,285.241,,0.0,
22,1001.0,,-56.0535,3.3969,271.244,,0.0,
23,1001.5,,-57.1736,3.4335,268.0875,,0.0,
24,1002.0,,-57.3474,3.4765,265.8949,,0.0,
25,1002.5,,-57.6692,3.4937,263.6323,,0.0,
26,1003.0,,-57.9619,3.5045,259.945,,0.0,
27,1003.5,,-58.1027,3.577,255.007,,0.0,
28,1004.0,,-58.4506,3.6123,250.6115,,0.0,
29,1004.5,,-58.8448,3.7261,246.3834,,0.0,
30,1005.0,,-59.0669,3.7759,243.2935,,0.0,
31,1005.5,,-58.9141,3.7991,242.6197,,0.0,
32,1006.0,,-59.0631,3.7523,242.3494,,0.0,
33,1006.5,,-59.4039,3.7114,244.393,,0.0,
34,1007.0,,-59.6956,3.6459,247.9574,,0.0,
35,1007.5,,-59.7231,3.6677,252.7295,,0.0,
36,1008.0,,-59.8045,3.5995,258.6639,,0.0,
37,1008.5,,-59.7353,3.4903,268.4473,,0.0,
38,1009.0,,-59.6684,3.4532,276.8848,,0.0,
39,1009.5,,-59.8197,3.4294,284.8578,,0.0,
40,1010.0,,-61.0389,3.4123,290.6289,,0.0,
41,1010.5,,-62.4546,3.3661,296.4812,,0.0,
42,1011.0,,-63.8191,3.317,299.6838,,0.0,
43,1011.5,,-66.7829,3.3595,299.8508,,0.0,
44,1012.0,,-67.4298,3.3689,296.0724,,0.0,
45,1012.5,,-65.0191,3.408,289.4752,,0.0,
46,1013.0,,-62.3864,3.4507,283.0009,,0.0,
47,1013.5,,-60.5742,3.4761,275.706,,0.0,
48,1014.0,,-60.135,3.511,271.1281,,0.0,
49,1014.5,,-59.6958,3.5277,267.4016,,0.0,
50,1015.0,,-59.0326,3.5306,265.6198,,0.0,
51,1015.5,,-58.8976,3.5392,265.1567,,0.0,
52,1016.0,,-59.5551,3.5445,265.5249,,0.0,
53,1016.5,,-60.0613,3.5188,265.1303,,0.0,
54,1017.0,,-60.5699,3.4963,263.9191,,0.0,
55,1017.5,,-61.0107,3.5928,261.9552,,0.0,
56,1018.0,,-60.6868,3.5704,260.1768,,0.0,
57,1018.5,,-60.4276,3.6606,257.0339,,0.0,
58,1019.0,,-60.5226,3.6804,254.2478,,0.0,
59,1019.5,,-60.4282,3.708,251.9784,,0.0,
60,1020.0,,-59.7096,3.7697,249.0791,,0.0,
61,1020.5,,-58.4338,3.8246,246.1099,,0.0,
62,1021.0,,-58.0382,3.8613,243.4303,,0.0,
63,1021.5,,-57.8163,3.9204,240.7507,,0.0,
64,1022.0,,-57.8422,3.9721,237.3661,,0.0,
65,1022.5,,-57.9092,3.9604,233.7196,,0.0,
66,1023.0,,-57.781,3.9475,231.1688,,0.0,
67,1023.5,,-58.0828,3.9966,229.0383,,0.0,
68,1024.0,,-57.9815,4.0394,226.6206,,0.0,
69,1024.5,,-57.8483,4.061,224.2743,,0.0,
70,1025.0,,-57.9046,4.1254,221.2784,,0.0,
71,1025.5,,-58.0128,4.1706,218.4998,,0.0,
72,1026.0,,-58.769,4.4235,214.6709,,0.0,
73,1026.5,,-59.5875,4.628,213.3422,,0.0,
74,1027.0,,-59.722,4.6822,212.9053,,0.0,
75,1027.5,,-59.2247,4.615,212.9471,,0.0,
76,1028.0,,-58.8568,4.5312,213.902,,0.0,
77,1028.5,,-59.1064,4.4551,215.5269,,0.0,
78,1029.0,,-59.2016,4.4787,217.5339,,0.0,
79,1029.5,,-59.5481,4.3854,220.4651,,0.0,
80,1030.0,,-59.6438,4.2333,225.0718,,0.0,
81,1030.5,,-59.7631,4.026,230.1395,,0.0,
82,1031.0,,-59.9524,3.8186,236.4701,,0.0,
83,1031.5,,-60.3235,3.7185,241.8688,,0.0,
84,1032.0,,-60.9379,3.7072,245.5604,,0.0,
85,1032.5,,-61.3292,3.6326,248.3744,,0.0,
86,1033.0,,-60.791,3.551,250.3556,,0.0,
87,1033.5,,-59.9766,3.5802,251.3361,,0.0,
88,1034.0,,-58.9138,3.5837,251.2219,,0.0,
89,1034.5,,-57.9043,3.5886,249.8304,,0.0,
90,1035.0,,-57.8701,3.6644,247.5029,,0.0,
91,1035.5,,-58.1211,3.6264,244.7227,,0.0,
92,1036.0,,-58.3441,3.7655,239.3001,,0.0,
93,1036.5,,-58.703,3.8223,235.6993,,0.0,
94,1037.0,,-58.7099,3.8434,233.3266,,0.0,
95,1037.5,,-58.7475,3.9308,232.246,,0.0,
96,1038.0,,-58.5639,4.0538,231.291,,45.0,
97,1038.5,,-58.1445,4.1768,228.0294,,0.0,0.0
98,1039.0,,-58.096,4.2998,224.4693,,0.0,0.0
99,1039.5,,-58.2963,4.4228,220.6724,,0.0,0.0
100,1040.0,,-58.5544,4.5668,216.3271,,0.0,0.0
101,1040.5,,-58.5455,4.7289,212.5699,,0.0,0.0
102,1041.0,,-58.162,4.7399,208.8304,,0.0,0.0
103,1041.5,,-58.0705,4.7916,205.2022,,0.0,0.0
104,1042.0,,-58.0218,4.7233,201.6452,,0.0,0.0
105,1042.5,,-57.7654,4.9086,198.1894,,0.0,0.0
106,1043.0,,-57.5091,4.9629,194.7855,,0.0,0.0
107,1043.5,,-56.7511,5.0171,192.0973,,0.0,0.0
108,1044.0,,-56.2277,5.0713,190.3419,,0.0,0.0
109,1044.5,,-56.0246,5.1255,189.1127,,0.0,0.0
110,1045.0,,-56.2416,5.159,188.7928,,0.0,0.0
111,1045.5,,-56.7132,5.1433,188.6665,,0.0,0.0
112,1046.0,,-56.5898,5.1368,188.5127,,0.0,0.0
113,1046.5,,-56.4755,5.1415,188.4137,,0.0,0.0
114,1047.0,,-56.6397,5.1343,188.7853,,0.0,0.0
115,1047.5,,-56.7565,5.1228,188.3513,,0.0,0.0
116,1048.0,,-56.9807,5.1113,187.5253,,0.0,0.0
117,1048.5,,-57.0956,5.0999,186.3968,,0.0,0.0
118,1049.0,,-57.02,5.0884,185.2683,,0.0,0.0
119,1049.5,,-57.0849,5.0769,184.2074,,0.0,0.0
120,1050.0,,-56.9899,5.0654,184.4498,,0.0,0.0
121,1050.5,,-57.2288,5.054,183.3501,,0.0,0.0
122,1051.0,,-57.708,5.0425,184.2137,,0.0,0.0
123,1051.5,,-58.0905,5.031,185.1916,,0.0,0.0
124,1052.0,,-58.1914,5.0195,186.9134,,0.0,0.0
125,1052.5,,-58.1755,5.0081,189.1463,,0.0,0.0
126,1053.0,,-58.298,4.9586,192.1942,,0.0,0.0
127,1053.5,,-58.3868,4.8779,196.1338,,0.0,0.0
128,1054.0,,-58.2039,4.7971,201.2996,,0.0,0.0
129,1054.5,,-57.5422,4.7163,206.2283,,0.0,0.0
130,1055.0,,-56.8452,4.6194,213.024,,0.0,0.0
131,1055.5,,-55.7332,4.4959,220.4481,,0.0,0.0
132,1056.0,,-54.9717,4.3724,229.0927,,0.0,0.0
133,1056.5,,-54.8575,4.249,235.9038,,0.0,0.0
134,1057.0,,-56.0463,4.1255,242.0638,,0.0,0.0
135,1057.5,,-58.8484,4.002,245.9847,,0.0,0.0
136,1058.0,,-62.7453,3.9112,249.0333,,0.0,0.0
137,1058.5,,-67.1494,3.8369,253.8461,,0.0,0.0
138,1059.0,,-68.6132,3.8123,256.182,,0.0,0.0
139,1059.5,,-68.6757,3.8412,256.8548,,0.0,0.0
140,1060.0,,-68.2328,3.8816,256.0947,,0.0,0.0
141,1060.5,,-67.9878,3.922,253.1479,,0.0,0.0
142,1061.0,,-68.1376,4.0034,250.0619,,0.0,0.0
143,1061.5,,-68.3071,4.0909,246.4233,,0.0,0.0
144,1062.0,,-68.4447,4.1784,240.491,,0.0,0.0
145,1062.5,,-68.472,4.2659,236.1152,,0.0,0.0
146,1063.0,,-67.8784,4.3534,231.4044,,0.0,0.0
147,1063.5,,-67.064,4.4408,226.5332,,0.0,0.0
148,1064.0,,-66.1246,4.5038,221.8989,,0.0,0.0
149,1064.5,,-65.1372,4.5368,217.6301,,0.0,0.0
150,1065.0,,-65.5488,4.5699,215.489,,0.0,0.0
151,1065.5,,-66.2305,4.603,213.8788,,0.0,0.0
152,1066.0,,-67.0902,4.636,213.5052,,0.0,0.0
153,1066.5,,-67.9873,4.6691,213.7377,,0.0,0.0
154,1067.0,,-67.9293,4.7021,213.8209,,0.0,0.0
155,1067.5,,-67.5422,4.7378,213.9421,,0.0,0.0
156,1068.0,,-66.7947,4.7834,214.3517,,0.0,0.0
157,1068.5,,-65.9337,4.829,214.7612,,0.0,0.0
158,1069.0,,-65.5032,4.8745,214.5474,,0.0,0.0
159,1069.5,,-65.143,4.827,213.1936,,0.0,0.0
160,1070.0,,-64.9884,4.6745,210.718,,0.0,0.0
161,1070.5,,-64.6257,4.6546,207.9198,,0.0,0.0
162,1071.0,,-61.5712,4.4321,205.5504,,0.0,0.0
