,depth,sn,sp,ild,cild,dt,sn_top,interval
267,1017.5,10.2902,-39.7663,9.1134,102.4022,,0.0,0.0
268,1018.0,10.2595,-39.7056,9.0409,102.7936,,0.0,0.0
269,1018.5,10.1536,-39.7784,9.0083,102.925,,0.0,0.0
270,1019.0,10.1241,-39.9838,9.0252,102.95,,0.0,0.0
271,1019.5,10.1079,-40.3802,9.0308,102.975,,0.0,0.0
272,1020.0,10.0917,-40.7749,9.0139,103.0884,,0.0,0.0
273,1020.5,10.0754,-41.08,9.0033,103.0522,,0.0,0.0
274,1021.0,10.0592,-41.1832,8.982,103.1503,,0.0,0.0
275,1021.5,10.043,-41.26,9.0146,103.2057,,0.0,0.0
276,1022.0,10.0369,-41.3129,9.0516,103.1,,0.0,0.0
277,1022.5,10.0369,-41.1948,9.1122,102.7626,,0.0,0.0
278,1023.0,10.0369,-41.0061,9.1334,102.659,,0.0,0.0
279,1023.5,10.0369,-41.1608,9.1,102.8713,,0.0,0.0
280,1024.0,10.1098,-41.2894,8.9884,103.8867,,0.0,0.0
281,1024.5,10.245,-41.5787,8.8079,105.2907,,0.0,0.0
282,1025.0,10.1932,-41.7542,8.858,105.9999,,0.0,0.0
283,1025.5,9.9758,-41.508,8.8558,105.8071,,0.0,0.0
284,1026.0,9.7284,-41.3637,8.8757,105.6949,,0.0,0.0
285,1026.5,9.6887,-41.2798,8.9307,105.4646,,0.0,0.0
286,1027.0,9.8078,-41.289,8.9137,105.5545,,0.0,0.0
287,1027.5,9.997,-41.2446,8.941,105.4859,,0.0,0.0
288,1028.0,10.1862,-41.162,8.9486,105.3517,,0.0,0.0
289,1028.5,10.1848,-41.0792,8.9167,105.5104,,0.0,0.0
290,1029.0,10.2065,-40.8863,8.908,105.5095,,0.0,0.0
291,1029.5,10.2099,-40.5373,8.9013,105.5508,,0.0,0.0
292,1030.0,10.1745,-40.3644,8.9019,105.4544,,0.0,0.0
293,1030.5,10.1153,-40.2598,8.8844,105.307,,0.0,0.0
294,1031.0,10.0561,-40.1553,8.8303,105.7343,,0.0,0.0
295,1031.5,9.9969,-40.4959,8.7609,106.9504,,0.0,0.0
296,1032.0,9.9378,-41.0296,8.6915,108.045,,0.0,0.0
297,1032.5,9.8786,-41.5571,8.6221,108.9346,,0.0,0.0
298,1033.0,9.7913,-41.8813,8.5527,109.8492,,0.0,0.0
