,depth,sn,sp,ild,cild,dt,sn_top,interval
0,1244.0,,-48.1566,17.1605,5.3554,133.2647,0.0,
1,1244.5,,-47.7312,17.0697,27.6594,127.2877,0.0,
2,1245.0,,-47.5771,15.7413,66.3134,117.3461,0.0,
3,1245.5,,-47.3122,13.164,73.5441,114.8084,0.0,
4,1246.0,,-46.1779,11.2701,89.5565,114.4879,0.0,
5,1246.5,,-44.4599,11.1925,88.7746,119.5293,0.0,
6,1247.0,,-42.8138,11.2963,88.3066,132.0313,0.0,
7,1247.5,,-41.9167,13.7824,81.9004,102.8556,0.0,
8,1248.0,,-41.1524,19.163,60.3594,100.2745,0.0,
9,1248.5,,-40.3233,19.9728,54.9802,101.0878,0.0,
10,1249.0,,-40.4071,15.5712,66.8921,101.0147,0.0,
11,1249.5,,-40.1787,13.7343,72.8958,102.2042,0.0,
12,1250.0,,-39.8775,12.6556,78.5386,103.2391,0.0,
13,1250.5,,-39.5774,12.1849,81.7946,103.1684,0.0,
14,1251.0,,-39.4571,13.5033,75.4073,101.5035,0.0,
15,1251.5,,-39.3237,15.0292,68.1049,99.3218,0.0,
16,1252.0,,-39.2155,15.652,65.9985,98.3576,0.0,
17,1252.5,,-39.6354,15.8652,64.4462,98.8715,0.0,
18,1253.0,,-40.0182,16.3397,62.9236,100.1429,0.0,
19,1253.5,,-40.2195,16.9537,61.7125,99.3564,0.0,
20,1254.0,,-40.2563,17.1836,60.2981,98.224,0.0,
21,1254.5,,-40.2028,17.0708,59.95,97.5464,0.0,
22,1255.0,,-40.1343,16.8363,60.1483,97.2293,0.0,
23,1255.5,,-40.2647,16.581,60.8813,97.4946,0.0,
24,1256.0,,-40.524,16.3258,62.4895,98.1255,0.0,
25,1256.5,,-40.8608,15.9015,64.0382,99.6031,0.0,
26,1257.0,,-41.1944,15.2886,65.9208,100.3111,0.0,
27,1257.5,,-41.7618,14.7533,68.6215,101.5281,0.0,
28,1258.0,,-42.6563,14.218,71.1299,103.0502,0.0,
29,1258.5,,-43.8551,13.7587,73.6974,104.6548,0.0,
30,1259.0,,-45.2867,13.2261,76.6158,105.5403,0.0,
31,1259.5,,-46.2689,12.7622,79.1352,106.541,0.0,
32,1260.0,,-46.3798,12.3817,81.4823,108.3014,0.0,
33,1260.5,,-46.0178,11.8859,84.0525,109.6107,0.0,
34,1261.0,,-44.7943,11.5765,86.0772,109.3427,0.0,
35,1261.5,,-43.5928,11.258,88.0036,108.8668,0.0,
36,1262.0,,-43.4213,10.9143,89.93,108.0924,0.0,
37,1262.5,,-44.1738,10.7286,91.8563,107.983,0.0,
38,1263.0,,-45.8809,10.3899,93.5515,109.2478,0.0,
39,1263.5,,-47.6374,10.4008,93.9397,109.6021,0.0,
40,1264.0,,-48.1424,10.3831,93.8493,110.8094,0.0,
41,1264.5,,-46.8062,10.3883,93.7785,116.5634,0.0,
42,1265.0,,-45.2973,10.4003,93.4178,125.982,0.0,
43,1265.5,,-44.213,10.3839,92.5275,113.4402,0.0,
44,1266.0,,-43.1743,10.8864,90.7382,107.0127,0.0,
45,1266.5,,-42.5813,11.2639,87.7938,106.5146,0.0,
46,1267.0,,-42.8767,11.7274,84.7738,106.6246,0.0,
47,1267.5,,-43.0496,12.1339,81.784,106.7963,0.0,
48,1268.0,,-41.8538,12.5452,79.4356,106.0858,0.0,
49,1268.5,,-40.4311,12.9065,77.4189,105.3335,0.0,
