,depth,sn,sp,ild,cild,dt,sn_top,interval
0,1088.0,,,,,,0.0,
1,1088.5,,,,,,0.0,
2,1089.0,,,,,,0.0,
3,1089.5,,,,,,0.0,
4,1090.0,,,,,,0.0,
5,1090.5,,,,,,0.0,
6,1091.0,,,,,,0.0,
7,1091.5,,,,,,0.0,
8,1092.0,,,,,,0.0,
9,1092.5,,,,,,0.0,
10,1093.0,,,,,,0.0,
11,1093.5,,,,,,0.0,
12,1094.0,,,,,,0.0,
13,1094.5,,,,,,0.0,
14,1095.0,,,,,,0.0,
15,1095.5,,,,,,0.0,
16,1096.0,,,,,,0.0,
17,1096.5,,,,,,0.0,
18,1097.0,,,,,,0.0,
19,1097.5,,,,,,0.0,
20,1098.0,,,,,,0.0,
21,1098.5,,,,,,0.0,
22,1099.0,,,,,,0.0,
23,1099.5,,,,,,0.0,
24,1100.0,,,,,,0.0,
25,1100.5,,,,,,0.0,
26,1101.0,,,,,,0.0,
27,1101.5,,,,,,0.0,
28,1102.0,,36.2529,0.8868,498.6518,90.9135,0.0,
29,1102.5,,26.1749,1.5543,454.2888,107.778,0.0,
30,1103.0,,9.321,5.0743,379.8159,127.7838,0.0,
31,1103.5,,-6.078,13.3306,413.263,148.1015,0.0,
32,1104.0,,-12.5029,11.5009,358.0351,152.9731,0.0,
33,1104.5,,-16.762,9.7284,1.6948,155.834,0.0,
34,1105.0,,-19.1861,9.7533,1.7597,148.7637,0.0,
35,1105.5,,-20.9197,9.7782,1.8246,137.4948,0.0,
36,1106.0,,-22.4543,9.8031,1.8895,129.8593,0.0,
37,1106.5,,-23.571,10.4667,1.9544,121.3628,0.0,
38,1107.0,,-24.4663,11.8641,44.0474,121.001,0.0,
39,1107.5,,-25.3657,12.3152,78.6651,121.2956,0.0,
40,1108.0,,-26.3825,11.43,84.5025,121.2308,0.0,
41,1108.5,,-26.9271,11.2753,87.4793,121.1916,0.0,
42,1109.0,,-27.4189,10.4289,92.0751,121.143,0.0,
43,1109.5,,-28.006,10.4955,94.1072,121.1947,0.0,
44,1110.0,,-28.4176,11.8502,89.6222,121.7206,0.0,
45,1110.5,,-28.8063,11.2028,97.1589,122.0641,0.0,
46,1111.0,,-29.0709,7.9428,123.7176,121.7623,0.0,
47,1111.5,,-29.3763,7.0352,134.5093,121.5815,0.0,
48,1112.0,,-29.4757,6.9697,136.0567,119.8809,0.0,
49,1112.5,,-29.667,7.2377,129.9116,118.5365,0.0,
50,1113.0,,-29.6942,8.4012,114.3594,118.4342,0.0,
51,1113.5,,-29.7907,9.3057,104.4827,118.0681,0.0,
52,1114.0,,-29.8873,9.4832,104.2204,117.7227,0.0,
53,1114.5,,-29.9838,9.5901,104.3595,117.2124,0.0,
54,1115.0,,-30.0803,9.5098,104.3595,116.7699,0.0,
55,1115.5,,-30.3309,9.4944,104.3595,117.5656,0.0,
56,1116.0,,-30.7352,9.5207,104.3595,118.1286,0.0,
57,1116.5,,-31.1394,9.5241,104.3595,119.1734,0.0,
58,1117.0,,-31.6441,9.5213,104.3595,119.4415,0.0,
59,1117.5,,-31.8485,9.49,104.3595,119.6427,0.0,
60,1118.0,,-31.4646,9.4654,104.8841,119.5887,0.0,
61,1118.5,,-30.7435,9.4435,105.3087,119.4716,0.0,
62,1119.0,,-30.4056,9.3461,106.0238,119.2026,0.0,
63,1119.5,,-30.1019,9.2696,106.7389,118.0942,0.0,
64,1120.0,,-29.5385,9.1802,106.9065,118.1484,0.0,
65,1120.5,,-29.3423,9.1462,106.7105,118.7469,0.0,
66,1121.0,,-29.3306,9.0955,107.1351,121.6372,0.0,
67,1121.5,,-29.3189,9.0162,108.1087,129.6008,0.0,
68,1122.0,,-29.3154,9.0092,107.7014,128.7753,0.0,
69,1122.5,,-29.3371,8.961,108.1063,117.923,0.0,
70,1123.0,,-29.3895,8.8743,108.6835,116.9175,0.0,
71,1123.5,,-29.4723,8.8783,108.8781,116.1934,0.0,
72,1124.0,,-29.8408,8.9224,108.7339,115.8654,0.0,
73,1124.5,,-30.1287,8.9548,108.7622,117.1755,0.0,
74,1125.0,,-30.3588,8.9701,108.9138,118.7565,0.0,
75,1125.5,,-30.3457,8.9015,109.1473,119.9201,0.0,
76,1126.0,,-30.03,8.8627,109.3082,120.0066,0.0,
77,1126.5,,-30.1384,8.7905,109.4262,119.4529,0.0,
78,1127.0,,-30.2658,8.866,109.4327,118.4738,0.0,
79,1127.5,,-30.4053,8.8981,108.9265,117.8581,0.0,
80,1128.0,,-30.5832,8.9302,108.6971,117.8904,0.0,
81,1128.5,,-30.7429,8.9611,108.9939,117.9925,0.0,
82,1129.0,,-30.8184,8.8961,109.5586,118.1271,0.0,
83,1129.5,,-30.8385,8.8404,110.0411,118.254,0.0,
84,1130.0,,-30.7549,8.82,110.5045,118.2893,0.0,
85,1130.5,,-30.6749,8.82,110.688,118.8185,0.0,
86,1131.0,,-30.6692,8.8122,110.4421,119.2302,0.0,
87,1131.5,,-30.665,8.8454,110.0741,119.3885,0.0,
88,1132.0,,-30.6762,8.914,109.0957,119.4681,0.0,
89,1132.5,,-30.6773,8.9996,107.9204,118.889,0.0,
90,1133.0,,-30.6673,9.1251,106.6879,118.2511,0.0,
91,1133.5,,-30.6574,9.2253,105.7065,117.5952,0.0,
92,1134.0,,-30.7834,9.2639,105.6,116.5296,0.0,
93,1134.5,,-31.2639,9.2879,105.55,115.8825,0.0,
94,1135.0,,-31.4388,9.2372,105.8148,115.2582,0.0,
95,1135.5,,-31.3689,9.1865,106.339,115.1677,0.0,
96,1136.0,,-31.3318,9.1358,106.5132,115.452,0.0,
97,1136.5,,-31.2496,9.1067,106.7704,116.3443,0.0,
98,1137.0,,-31.0774,9.1013,107.1281,117.65,0.0,
99,1137.5,,-30.9401,9.0937,107.25,118.7666,0.0,
100,1138.0,,-30.8066,9.1478,107.0224,119.7685,0.0,
101,1138.5,,-30.5302,9.2119,106.2469,119.4611,0.0,
102,1139.0,,-30.5126,9.2673,105.5564,118.6388,0.0,
103,1139.5,,-30.495,9.3655,104.4731,117.7304,0.0,
104,1140.0,,-30.4335,9.2602,103.9814,116.389,0.0,
105,1140.5,,-30.4241,9.5072,102.7757,115.8713,0.0,
106,1141.0,,-30.5973,9.5113,102.9839,115.9244,0.0,
107,1141.5,,-30.7904,9.4263,103.1644,115.9481,0.0,
108,1142.0,,-30.8268,9.4192,103.6998,116.537,0.0,
109,1142.5,,-30.8252,9.3728,104.1647,117.7893,0.0,
110,1143.0,,-30.7287,9.3125,104.9152,118.7761,0.0,
111,1143.5,,-30.5691,9.247,105.6657,119.2462,0.0,
112,1144.0,,-30.2824,9.1816,106.3133,119.4524,0.0,
113,1144.5,,-29.7302,9.1161,106.7216,118.5587,0.0,
114,1145.0,,-29.7445,9.0771,107.2957,117.8288,0.0,
115,1145.5,,-29.792,8.9918,107.9413,117.5173,0.0,
116,1146.0,,-30.0132,8.9149,108.7796,117.6237,0.0,
117,1146.5,,-30.0539,8.8525,109.4004,117.7631,0.0,
118,1147.0,,-29.9594,8.7472,110.3394,117.9391,0.0,
119,1147.5,,-29.9648,8.6432,111.5025,118.4388,0.0,
120,1148.0,,-30.1434,8.5042,113.0703,118.7723,0.0,
121,1148.5,,-30.3048,8.4252,114.4009,118.9352,0.0,
122,1149.0,,-30.2828,8.343,115.0849,119.1139,0.0,
123,1149.5,,-30.5328,8.3356,115.5371,119.3128,0.0,
124,1150.0,,-30.8812,8.3256,115.7357,120.2378,0.0,
125,1150.5,,-31.0653,8.3256,115.7768,120.9189,0.0,
126,1151.0,,-31.3081,8.3608,115.0332,121.0186,0.0,
127,1151.5,,-31.4851,8.4689,114.3075,121.0623,0.0,
128,1152.0,,-31.6952,8.5173,113.3754,120.6971,0.0,
129,1152.5,,-31.9165,8.6718,111.5845,120.1056,0.0,
130,1153.0,,-32.0033,8.7784,110.1326,119.5694,0.0,
131,1153.5,,-31.8923,8.9245,108.6806,118.657,0.0,
132,1154.0,,-31.9431,9.0351,107.5381,117.9381,0.0,
133,1154.5,,-32.036,9.0788,106.7309,117.6567,0.0,
134,1155.0,,-31.9749,9.1054,106.2565,117.4918,0.0,
135,1155.5,,-31.7888,9.0976,106.6945,117.2441,0.0,
136,1156.0,,-31.6614,9.1163,106.9624,117.1756,0.0,
137,1156.5,,-31.5438,8.9965,107.4218,117.2027,0.0,
138,1157.0,,-31.4259,8.9849,108.2725,117.5735,0.0,
139,1157.5,,-31.3617,8.9299,109.3853,118.1979,0.0,
140,1158.0,,-31.316,8.8709,109.9377,118.7781,0.0,
141,1158.5,,-31.2355,8.8178,110.2163,119.048,0.0,
142,1159.0,,-30.9289,8.7742,110.6651,119.2741,0.0,
143,1159.5,,-31.1102,8.7996,110.6581,119.5201,0.0,
144,1160.0,,-31.0589,8.8164,110.1936,119.8275,0.0,
145,1160.5,,-30.6421,8.8308,109.7339,120.1309,0.0,
146,1161.0,,-30.3898,8.9173,109.3748,120.4121,0.0,
147,1161.5,,-30.3824,8.8394,109.3309,120.4062,0.0,
148,1162.0,,-31.0426,8.8827,109.5707,119.8543,0.0,
149,1162.5,,-31.8008,8.8649,109.6793,119.2885,0.0,
150,1163.0,,-32.2298,8.8617,109.867,118.7564,0.0,
151,1163.5,,-32.5299,8.9185,109.7905,118.7928,0.0,
152,1164.0,,-32.3347,8.9121,109.6876,119.3799,0.0,
153,1164.5,,-32.0172,8.8131,110.3978,120.1397,0.0,
154,1165.0,,-31.7424,8.7524,111.2696,120.2438,0.0,
