,depth,sn,sp,ild,cild,dt,sn_top,interval
0,999.0,,-20.5084,0.5451,196.2638,,0.0,
1,999.5,,-42.4613,0.5082,410.3642,,0.0,
2,1000.0,,-49.6482,11.6652,347.6305,168.9915,0.0,
3,1000.5,,-52.7239,15.8829,213.8168,155.2572,0.0,
4,1001.0,,-53.1664,3.0522,317.455,138.2027,0.0,
5,1001.5,,-52.2379,11.1895,166.1348,143.4604,0.0,
6,1002.0,,-50.3324,19.3872,2.3254,148.718,0.0,
7,1002.5,,-48.3204,28.8232,1.8843,166.4106,0.0,
8,1003.0,,-46.1283,38.2591,1.4432,164.5236,0.0,
9,1003.5,,-40.3168,45.1571,1.002,158.5741,45.0,
10,1004.0,,-39.2859,5.788,87.2958,152.1927,0.0,0.0
11,1004.5,,-39.7205,4.548,202.0678,147.3071,0.0,0.0
12,1005.0,,-40.0315,4.543,204.1382,153.9208,0.0,0.0
13,1005.5,,-39.1132,4.538,195.9441,155.5247,0.0,0.0
14,1006.0,,-37.8026,4.533,192.7398,152.7748,0.0,0.0
15,1006.5,,-36.6702,4.5279,209.4881,146.8324,0.0,0.0
16,1007.0,,-36.1523,4.5229,188.4787,146.7423,0.0,0.0
17,1007.5,,-36.0882,4.5179,177.8464,146.5257,0.0,0.0
18,1008.0,,-36.1505,4.5129,204.4719,146.5414,0.0,0.0
19,1008.5,,-36.2951,4.5079,232.0514,146.721,0.0,0.0
20,1009.0,,-36.5266,4.5128,237.2668,146.0907,0.0,0.0
21,1009.5,,-36.6183,4.574,228.4991,143.4929,0.0,0.0
22,1010.0,,-36.5189,4.6351,206.4899,139.6647,0.0,0.0
23,1010.5,,-36.4593,4.6963,199.3518,135.9557,0.0,0.0
24,1011.0,,-36.4167,4.8159,197.818,134.0862,0.0,0.0
25,1011.5,,-36.3742,4.8644,196.5895,131.7711,0.0,0.0
26,1012.0,,-36.4317,4.9279,195.478,130.0917,0.0,0.0
27,1012.5,,-36.4189,4.9537,195.1684,128.9587,0.0,0.0
28,1013.0,,-36.4885,4.9724,195.5991,127.7877,0.0,0.0
29,1013.5,,-36.5773,4.9475,196.2486,126.2067,0.0,0.0
30,1014.0,,-36.7064,4.9587,197.2979,124.4824,0.0,0.0
31,1014.5,,-36.8769,4.9321,198.9343,123.3196,0.0,0.0
32,1015.0,,-36.97,4.8915,200.025,122.1038,0.0,0.0
33,1015.5,,-36.9443,4.8369,200.9272,120.1379,0.0,0.0
34,1016.0,,-36.8832,4.7797,202.2473,118.1634,0.0,0.0
35,1016.5,,-36.9749,4.8095,203.5119,117.1077,0.0,0.0
36,1017.0,,-37.4795,4.757,205.1603,118.0764,0.0,0.0
37,1017.5,,-37.6407,4.7102,206.7789,121.0237,0.0,0.0
38,1018.0,,-37.6337,4.6753,208.8642,123.9483,0.0,0.0
39,1018.5,,-37.6703,4.6596,211.0416,125.7169,0.0,0.0
40,1019.0,,-37.7948,4.6392,212.8119,126.0202,0.0,0.0
41,1019.5,,-37.8529,4.6611,214.3174,126.2755,0.0,0.0
42,1020.0,,-37.8002,4.6494,215.9797,126.49,0.0,0.0
43,1020.5,,-37.7442,4.6262,217.5931,126.7128,0.0,0.0
44,1021.0,,-37.6662,4.603,218.4789,126.8152,0.0,0.0
45,1021.5,,-37.5667,4.5797,220.0783,125.1479,0.0,0.0
46,1022.0,,-37.4889,4.5565,221.8933,122.399,0.0,0.0
47,1022.5,,-37.1606,4.5333,223.484,118.8806,0.0,0.0
48,1023.0,,-36.9232,4.5101,224.8484,116.9771,0.0,0.0
49,1023.5,,-37.0826,4.4868,226.5919,116.6623,0.0,0.0
50,1024.0,,-38.4904,4.4636,227.851,117.0419,0.0,0.0
51,1024.5,,-40.0163,4.4404,228.6254,117.8904,0.0,0.0
52,1025.0,,-41.5951,4.4172,228.6275,118.9649,0.0,0.0
53,1025.5,,-43.7565,4.3939,228.3638,120.0413,0.0,0.0
54,1026.0,,-46.0976,4.3707,228.556,121.8756,0.0,0.0
55,1026.5,,-48.146,4.3475,229.818,122.9438,0.0,0.0
56,1027.0,,-51.2513,4.1946,231.9211,120.9557,0.0,0.0
57,1027.5,,-55.9607,4.1573,234.9154,119.1213,0.0,0.0
58,1028.0,,-57.8195,4.0983,237.8716,119.8139,0.0,0.0
59,1028.5,,-59.2009,4.0146,240.4181,120.5854,0.0,0.0
60,1029.0,,-60.0267,3.977,242.9154,123.4184,0.0,0.0
61,1029.5,,-60.6262,3.9284,244.8652,125.9849,0.0,0.0
62,1030.0,,-61.0479,3.9088,245.7821,128.9057,0.0,0.0
63,1030.5,,-60.8795,3.8709,250.0931,132.2373,0.0,0.0
64,1031.0,,-60.6917,3.8433,252.4999,134.8529,0.0,0.0
65,1031.5,,-59.9495,3.8513,254.2205,136.9478,0.0,0.0
66,1032.0,,-58.8546,3.7658,256.3815,138.0484,0.0,0.0
67,1032.5,,-57.8912,3.7514,256.8689,139.4901,0.0,0.0
68,1033.0,,-55.8824,3.761,258.0538,139.7549,0.0,0.0
69,1033.5,,-52.6905,3.713,259.5016,136.5237,0.0,0.0
70,1034.0,,-50.7445,3.6811,261.1457,135.448,0.0,0.0
71,1034.5,,-48.5853,3.7148,262.6838,134.668,0.0,0.0
72,1035.0,,-46.7264,3.7099,263.7696,135.3733,0.0,0.0
73,1035.5,,-46.0548,3.7764,264.4556,137.0509,0.0,0.0
74,1036.0,,-46.046,3.5229,264.6543,136.4296,0.0,0.0
75,1036.5,,-46.0888,3.6716,264.7072,135.3572,0.0,0.0
76,1037.0,,-46.7241,3.6619,264.5677,135.0022,0.0,0.0
77,1037.5,,-47.4119,3.6231,264.254,134.3308,0.0,0.0
78,1038.0,,-48.4178,3.6277,263.7632,133.1715,0.0,0.0
79,1038.5,,-49.7175,3.6602,263.4874,131.7314,0.0,0.0
80,1039.0,,-50.9093,3.6698,263.3372,131.3969,0.0,0.0
81,1039.5,,-52.0924,3.6578,263.4399,131.2316,0.0,0.0
82,1040.0,,-53.3787,3.6611,264.0304,130.7566,0.0,0.0
83,1040.5,,-55.1043,3.6836,265.066,129.7897,0.0,0.0
