,depth,sn,sp,ild,cild,dt,sn_top,interval
0,1260.0,,,,,,0.0,
1,1260.5,,,,,,0.0,
2,1261.0,,,,,,0.0,
3,1261.5,,,,,,0.0,
4,1262.0,,,,,,0.0,
5,1262.5,,,,,,0.0,
6,1263.0,,,,,,0.0,
7,1263.5,,,,,,0.0,
8,1264.0,,,,,,0.0,
9,1264.5,,,,,,0.0,
10,1265.0,,,,,,0.0,
11,1265.5,,,,,,0.0,
12,1266.0,,,,,,0.0,
13,1266.5,,,,,,0.0,
14,1267.0,,,,,,0.0,
15,1267.5,,,,,154.2795,0.0,
16,1268.0,,-59.9979,4.6447,601.4708,143.6756,0.0,
17,1268.5,,-58.2083,10.2542,395.8782,133.0717,0.0,
18,1269.0,,-54.6182,30.0874,204.6456,119.9588,0.0,
19,1269.5,,-51.4263,49.9206,119.1645,115.2573,0.0,
20,1270.0,,-48.2594,355.8461,18.8707,117.9865,0.0,
21,1270.5,,-46.1801,40.6542,29.8441,123.5967,0.0,
22,1271.0,,-45.193,10.5829,78.286,127.164,0.0,
23,1271.5,,-44.4299,9.6731,103.2528,125.5043,0.0,
24,1272.0,,-43.6056,9.1167,111.4943,121.0303,0.0,
25,1272.5,,-42.6633,8.4265,116.1351,117.4655,0.0,
26,1273.0,,-41.8168,8.1987,121.8831,116.3658,0.0,
27,1273.5,,-41.3542,9.8241,107.5641,115.0276,0.0,
28,1274.0,,-41.3074,12.8989,81.0522,112.3754,0.0,
29,1274.5,,-41.0654,12.3279,83.2354,112.2053,0.0,
30,1275.0,,-40.7514,10.1221,97.8123,113.2483,0.0,
31,1275.5,,-40.5626,9.1731,106.8714,114.4443,0.0,
32,1276.0,,-40.472,8.2241,118.4065,115.8499,0.0,
33,1276.5,,-40.1767,7.7231,127.9931,116.9852,0.0,
34,1277.0,,-39.9805,7.8398,125.1496,118.4112,0.0,
35,1277.5,,-39.8048,8.1079,120.7309,120.0885,0.0,
36,1278.0,,-39.3538,8.2769,118.2431,124.0274,0.0,
37,1278.5,,-38.6696,8.3751,116.6349,127.4804,0.0,
38,1279.0,,-37.9325,8.5457,114.2796,125.8405,0.0,
39,1279.5,,-37.1044,8.7349,111.6664,121.4326,0.0,
40,1280.0,,-36.2465,9.1484,108.4672,115.7017,0.0,
41,1280.5,,-35.4913,9.5158,103.8437,109.8192,0.0,
42,1281.0,,-34.9819,9.729,100.1569,105.1065,0.0,
43,1281.5,,-34.6703,9.9395,97.4469,106.0394,0.0,
44,1282.0,,-34.4053,10.258,94.1403,107.0654,0.0,
45,1282.5,,-34.3202,10.9582,91.9566,108.297,0.0,
46,1283.0,,-34.5335,11.1162,90.8061,109.2673,0.0,
47,1283.5,,-34.7824,11.1503,89.9663,107.0504,0.0,
48,1284.0,,-34.9833,10.9842,89.9607,105.5048,0.0,
49,1284.5,,-35.1903,10.5523,91.9081,106.5791,0.0,
50,1285.0,,-35.4325,10.1205,93.8555,105.7753,0.0,
51,1285.5,,-35.6748,10.0386,94.6668,105.6649,0.0,
52,1286.0,,-36.1842,10.0352,94.1242,108.1748,0.0,
53,1286.5,,-36.5778,10.1072,94.6264,111.2403,0.0,
54,1287.0,,-36.6838,10.1098,94.8251,115.5081,0.0,
55,1287.5,,-36.1847,10.0504,95.0238,118.6178,0.0,
56,1288.0,,-35.0132,9.9964,97.0323,117.2639,0.0,
57,1288.5,,-33.903,9.8923,99.2315,114.5788,0.0,
58,1289.0,,-33.59,9.7097,101.3254,109.9211,0.0,
59,1289.5,,-33.6488,9.5242,103.0059,107.2328,0.0,
60,1290.0,,-33.6843,9.324,105.2249,108.3111,0.0,
61,1290.5,,-33.589,9.1495,106.8621,110.5471,0.0,
62,1291.0,,-33.4381,9.0609,107.7852,112.5773,0.0,
63,1291.5,,-33.2266,9.1089,108.3261,113.3941,0.0,
64,1292.0,,-32.9584,9.3126,109.9743,113.3941,0.0,
65,1292.5,,-32.98,9.4149,108.8626,112.8806,0.0,
66,1293.0,,-33.2208,9.4503,108.7355,111.6953,0.0,
67,1293.5,,-33.3473,9.4603,109.0993,110.9324,0.0,
68,1294.0,,-33.4775,9.4024,110.2449,110.9656,0.0,
69,1294.5,,-33.5513,9.4216,109.8806,111.2376,0.0,
70,1295.0,,-33.4906,9.5471,109.5891,111.7921,0.0,
71,1295.5,,-33.4917,9.6725,109.1498,112.5902,0.0,
72,1296.0,,-33.943,9.7979,106.7195,112.9151,0.0,
73,1296.5,,-34.6692,9.9234,105.9112,112.9233,0.0,
74,1297.0,,-35.183,10.0488,105.6364,112.46,0.0,
75,1297.5,,-35.3228,10.1742,105.8307,111.4919,0.0,
76,1298.0,,-35.0736,10.1095,106.3242,110.9367,0.0,
77,1298.5,,-34.7839,10.0273,106.778,110.7938,0.0,
78,1299.0,,-34.3717,9.9452,107.5578,110.8722,0.0,
79,1299.5,,-33.8169,9.844,107.4077,110.8805,0.0,
80,1300.0,,-33.2901,9.7349,105.8696,110.6322,0.0,
81,1300.5,,-32.7865,9.688,103.4321,110.7834,0.0,
82,1301.0,,-32.5596,9.7806,101.6902,111.5904,0.0,
83,1301.5,,-32.4649,9.8733,100.0122,111.3679,0.0,
84,1302.0,,-32.4871,10.052,98.801,109.8761,0.0,
85,1302.5,,-32.3933,10.3679,97.3539,108.0632,0.0,
86,1303.0,,-32.2254,10.6838,95.8233,106.2253,0.0,
87,1303.5,,-32.1224,10.9997,93.4108,105.3065,0.0,
88,1304.0,,-32.0113,11.3156,90.4181,105.752,0.0,
89,1304.5,,-31.8828,11.5248,88.9136,106.1738,0.0,
90,1305.0,,-31.8428,11.5273,88.157,106.3907,0.0,
91,1305.5,,-31.8945,11.5297,88.5314,106.2891,0.0,
92,1306.0,,-31.7902,11.5322,88.8683,105.2801,0.0,
93,1306.5,,-31.7047,11.4723,88.9963,104.2777,0.0,
94,1307.0,,-31.9198,11.375,88.8853,103.6807,0.0,
95,1307.5,,-32.31,11.2777,88.8514,104.5094,0.0,
96,1308.0,,-32.7172,11.1804,89.4544,104.6992,0.0,
97,1308.5,,-32.7818,11.0831,90.6627,104.3841,0.0,
98,1309.0,,-32.2928,10.9859,91.6212,103.771,0.0,
99,1309.5,,-31.7705,10.8886,92.1543,103.6294,0.0,
100,1310.0,,-31.702,10.7913,92.6874,104.3613,0.0,
101,1310.5,,-31.9435,10.694,93.7783,105.1418,0.0,
102,1311.0,,-32.5252,10.5977,94.0506,106.5504,0.0,
103,1311.5,,-33.0417,10.5032,94.5,107.1866,0.0,
